Table with row labels in columns A and B and column labels headers in rows 5 through 8.,,,
Illinois,Alaska,367,385
Illinois,Arizona,"6,130","1,899"
Illinois,Arkansas,"1,361",697
Illinois,California,"15,128","2,843"
Illinois,Colorado,"3,917","1,424"
Illinois,Connecticut,"2,116","1,513"
Illinois,Delaware,868,"1,115"
Illinois,District of Columbia ,761,432
Illinois,Florida,"12,751","2,882"
Illinois,Georgia,"5,242","1,896"
Illinois,Hawaii,375,330
Illinois,Idaho,"1,371",808
Illinois,Illinois,X,X
Illinois,Indiana,"14,098","3,099"
Illinois,Iowa,"6,721","1,744"
Illinois,Kansas,"3,693","1,865"
Illinois,Kentucky,"2,394",710
Illinois,Louisiana,"2,737","1,315"
Illinois,Maine,199,212
Illinois,Maryland,"2,462","1,794"
Illinois,Massachusetts,"4,239","1,561"
Illinois,Michigan,"9,418","2,605"
Illinois,Minnesota,"4,471","1,583"
Illinois,Mississippi,722,430
Illinois,Missouri,"10,892","2,510"
Illinois,Montana,N,N
Illinois,Nebraska,"1,312",599
Illinois,Nevada,"2,130",976
Illinois,New Hampshire,95,136
Illinois,New Jersey,"2,490",788
Illinois,New Mexico,486,415
Illinois,New York,"11,082","3,600"
Illinois,North Carolina,"4,493","1,498"
Illinois,North Dakota,164,173
Illinois,Ohio,"7,372","2,025"
Illinois,Oklahoma,"1,644","1,331"
Illinois,Oregon,"1,114",770
Illinois,Pennsylvania,"4,420","1,679"
Illinois,Rhode Island,N,N
Illinois,South Carolina,683,550
Illinois,South Dakota,343,284
Illinois,Tennessee,"3,992","1,354"
Illinois,Texas,"18,189","3,474"
Illinois,Utah,311,332
Illinois,Vermont,809,850
Illinois,Virginia,"4,974","2,291"
Illinois,Washington,"4,302","1,779"
Illinois,West Virginia,"1,335","1,153"
Illinois,Wisconsin,"14,131","2,749"
Illinois,Wyoming,833,549
Illinois,Puerto Rico,"1,392","1,478"
Illinois,U.S. Island Areas,218,318
Illinois,Foreign country,"93,948","11,590"
Indiana,Alabama,"1,933","1,062"
Indiana,Alaska,0,211
Indiana,Arizona,"1,483",644
Indiana,Arkansas,340,317
Indiana,California,"9,740","2,396"
Indiana,Colorado,"3,265","1,577"
Indiana,Connecticut,760,588
Indiana,Delaware,0,211
Indiana,District of Columbia ,N,N
Indiana,Florida,"9,264","2,655"
Indiana,Georgia,"5,140","2,513"
Indiana,Hawaii,408,381
Indiana,Idaho,"1,357",890
Indiana,Illinois,"25,727","3,764"
Indiana,Indiana,X,X
Indiana,Iowa,"1,199",953
Indiana,Kansas,305,271
Indiana,Kentucky,"10,166","2,125"
Indiana,Louisiana,"1,984","1,198"
Indiana,Maine,N,N
Indiana,Maryland,426,329
Indiana,Massachusetts,469,387
Indiana,Michigan,"7,283","1,726"
Indiana,Minnesota,"2,221","1,094"
Indiana,Mississippi,277,297
Indiana,Missouri,"2,463","1,301"
Indiana,Montana,174,155
Indiana,Nebraska,N,N
Indiana,Nevada,677,586
Indiana,New Hampshire,537,403
Indiana,New Jersey,"4,409","2,646"
Indiana,New Mexico,218,223
Indiana,New York,"3,091","1,419"
Indiana,North Carolina,"2,158","1,339"
Indiana,North Dakota,0,211
Indiana,Ohio,"11,600","2,893"
Indiana,Oklahoma,556,398
Indiana,Oregon,549,650
Indiana,Pennsylvania,"3,772","1,932"
Indiana,Rhode Island,N,N
Indiana,South Carolina,766,630
Indiana,South Dakota,515,566
Indiana,Tennessee,"4,460","1,890"
Indiana,Texas,"5,637","1,796"
Indiana,Utah,706,643
Indiana,Vermont,0,211
Indiana,Virginia,"2,679","1,256"
Indiana,Washington,"2,430","1,082"
Indiana,West Virginia,121,208
Indiana,Wisconsin,"2,107",897
Indiana,Wyoming,N,N
Indiana,Puerto Rico,N,N
Indiana,U.S. Island Areas,N,N
Indiana,Foreign country,"35,322","4,727"
Iowa,Alabama,323,371
Iowa,Alaska,0,174
Iowa,Arizona,"2,187",942
Iowa,Arkansas,646,540
Iowa,California,"2,485","1,155"
Iowa,Colorado,"2,866","1,605"
Iowa,Connecticut,287,349
Iowa,Delaware,0,174
Iowa,District of Columbia ,N,N
Iowa,Florida,"2,158",854
Iowa,Georgia,289,261
Iowa,Hawaii,0,174
Iowa,Idaho,449,318
Iowa,Illinois,"10,691","2,090"
Iowa,Indiana,751,487
Iowa,Iowa,X,X
Iowa,Kansas,"2,460","1,764"
Iowa,Kentucky,356,304
Iowa,Louisiana,314,393
Iowa,Maine,0,174
Iowa,Maryland,N,N
Iowa,Massachusetts,282,241
Iowa,Michigan,825,482
Iowa,Minnesota,"5,086","1,099"
Iowa,Mississippi,83,103
Iowa,Missouri,"3,254",970
Iowa,Montana,N,N
Iowa,Nebraska,"4,800","1,250"
Iowa,Nevada,224,174
Iowa,New Hampshire,0,174
Iowa,New Jersey,N,N
Iowa,New Mexico,505,589
Iowa,New York,924,635
Iowa,North Carolina,500,349
Iowa,North Dakota,148,110
Iowa,Ohio,782,487
Iowa,Oklahoma,319,227
Iowa,Oregon,177,218
Iowa,Pennsylvania,936,651
Iowa,Rhode Island,0,174
Iowa,South Carolina,149,155
Iowa,South Dakota,"2,231",878
Iowa,Tennessee,733,475
Iowa,Texas,"5,861","2,811"
Iowa,Utah,318,342
Iowa,Vermont,N,N
Iowa,Virginia,409,295
Iowa,Washington,652,304
Iowa,West Virginia,N,N
Iowa,Wisconsin,"3,739",964
Iowa,Wyoming,N,N
Iowa,Puerto Rico,897,973
Iowa,U.S. Island Areas,257,358
Iowa,Foreign country,"11,947","2,665"
Kansas,Alabama,"1,239",903
Kansas,Alaska,N,N
Kansas,Arizona,"4,068","2,270"
Kansas,Arkansas,"1,494",896
Kansas,California,"5,217","1,468"
Kansas,Colorado,"6,987","2,091"
Kansas,Connecticut,306,237
Kansas,Delaware,269,432
Kansas,District of Columbia ,0,189
Kansas,Florida,"2,512","1,065"
Kansas,Georgia,"1,547","1,040"
Kansas,Hawaii,672,583
Kansas,Idaho,157,205
Kansas,Illinois,"1,466",525
Kansas,Indiana,537,358
Kansas,Iowa,"1,184",452
Kansas,Kansas,X,X
Kansas,Kentucky,611,466
Kansas,Louisiana,432,577
Kansas,Maine,N,N
Kansas,Maryland,"1,754","1,286"
Kansas,Massachusetts,223,275
Kansas,Michigan,396,432
Kansas,Minnesota,427,269
Kansas,Mississippi,349,348
Kansas,Missouri,"21,660","3,165"
Kansas,Montana,381,553
Kansas,Nebraska,"3,236","1,585"
Kansas,Nevada,"1,103",866
Kansas,New Hampshire,225,362
Kansas,New Jersey,N,N
Kansas,New Mexico,454,338
Kansas,New York,"1,110",807
Kansas,North Carolina,"1,807",999
Kansas,North Dakota,0,189
Kansas,Ohio,804,540
Kansas,Oklahoma,"5,414","2,204"
Kansas,Oregon,761,544
Kansas,Pennsylvania,930,806
Kansas,Rhode Island,0,189
Kansas,South Carolina,167,185
Kansas,South Dakota,N,N
Kansas,Tennessee,"2,515","1,468"
Kansas,Texas,"6,355","1,985"
Kansas,Utah,782,684
Kansas,Vermont,0,189
Kansas,Virginia,845,524
Kansas,Washington,"1,979","1,052"
Kansas,West Virginia,N,N
Kansas,Wisconsin,708,559
Kansas,Wyoming,N,N
Kansas,Puerto Rico,"1,034","1,073"
Kansas,U.S. Island Areas,0,189
Kansas,Foreign country,"15,650","3,368"
Kentucky,Alabama,758,451
Kentucky,Alaska,295,365
Kentucky,Arizona,"1,167",791
Kentucky,Arkansas,459,424
Kentucky,California,"6,856","2,902"
Kentucky,Colorado,"2,206","1,246"
Kentucky,Connecticut,N,N
Kentucky,Delaware,0,208
Kentucky,District of Columbia ,N,N
Kentucky,Florida,"7,326","1,925"
Kentucky,Georgia,"5,106","1,679"
Kentucky,Hawaii,N,N
Kentucky,Idaho,232,201
Kentucky,Illinois,"3,102","1,145"
Kentucky,Indiana,"7,756","1,564"
Kentucky,Iowa,497,587
Kentucky,Kansas,813,530
Kentucky,Kentucky,X,X
Kentucky,Louisiana,503,242
Kentucky,Maine,0,208
Kentucky,Maryland,"1,413",764
Kentucky,Massachusetts,637,501
Kentucky,Michigan,"2,226",984
Kentucky,Minnesota,405,412
Kentucky,Mississippi,545,380
Kentucky,Missouri,"2,671","1,520"
Kentucky,Montana,547,855
Kentucky,Nebraska,485,370
Kentucky,Nevada,204,145
Kentucky,New Hampshire,N,N
Kentucky,New Jersey,"1,083","1,079"
Kentucky,New Mexico,141,61
Kentucky,New York,"2,294","1,070"
Kentucky,North Carolina,"3,509","2,868"
Kentucky,North Dakota,0,208
Kentucky,Ohio,"14,376","3,608"
Kentucky,Oklahoma,300,498
Kentucky,Oregon,304,399
Kentucky,Pennsylvania,"1,388",730
Kentucky,Rhode Island,274,317
Kentucky,South Carolina,430,292
Kentucky,South Dakota,263,340
Kentucky,Tennessee,"14,181","4,150"
Kentucky,Texas,"2,807","1,153"
Kentucky,Utah,319,247
Kentucky,Vermont,148,217
Kentucky,Virginia,"2,797","1,159"
Kentucky,Washington,"1,028",575
Kentucky,West Virginia,"2,915","1,687"
Kentucky,Wisconsin,236,186
Kentucky,Wyoming,450,386
Kentucky,Puerto Rico,726,759
Kentucky,U.S. Island Areas,N,N
Kentucky,Foreign country,"24,464","4,704"
Louisiana,Alabama,"2,085","1,033"
Louisiana,Alaska,468,787
Louisiana,Arizona,297,359
Louisiana,Arkansas,"3,011","1,213"
Louisiana,California,"3,544","1,536"
Louisiana,Colorado,"2,633","1,997"
Louisiana,Connecticut,129,168
Louisiana,Delaware,N,N
Louisiana,District of Columbia ,145,147
Louisiana,Florida,"4,570","1,864"
Louisiana,Georgia,"3,919","1,695"
Louisiana,Hawaii,337,304
Louisiana,Idaho,0,224
Louisiana,Illinois,"1,715","1,094"
Louisiana,Indiana,834,487
Louisiana,Iowa,698,457
Louisiana,Kansas,805,541
Louisiana,Kentucky,396,304
Louisiana,Louisiana,X,X
Louisiana,Maine,0,224
Louisiana,Maryland,815,852
Louisiana,Massachusetts,N,N
Louisiana,Michigan,"1,703","2,149"
Louisiana,Minnesota,N,N
Louisiana,Mississippi,"5,108","1,973"
Louisiana,Missouri,"2,795","2,481"
Louisiana,Montana,0,224
Louisiana,Nebraska,N,N
Louisiana,Nevada,268,318
Louisiana,New Hampshire,0,224
Louisiana,New Jersey,197,181
Louisiana,New Mexico,695,524
Louisiana,New York,"1,836","1,055"
Louisiana,North Carolina,"1,358",974
Louisiana,North Dakota,497,501
Louisiana,Ohio,217,206
Louisiana,Oklahoma,"1,461","1,073"
Louisiana,Oregon,178,169
Louisiana,Pennsylvania,"2,577","1,456"
Louisiana,Rhode Island,98,92
Louisiana,South Carolina,967,661
Louisiana,South Dakota,N,N
Louisiana,Tennessee,"1,241",882
Louisiana,Texas,"19,850","3,560"
Louisiana,Utah,"1,105",732
Louisiana,Vermont,N,N
Louisiana,Virginia,"2,002","1,366"
Louisiana,Washington,402,488
Louisiana,West Virginia,36,44
Louisiana,Wisconsin,0,224
Louisiana,Wyoming,N,N
Louisiana,Puerto Rico,N,N
Louisiana,U.S. Island Areas,311,277
Louisiana,Foreign country,"23,798","4,540"
Maine,Alabama,505,299
Maine,Alaska,"1,091",975
Maine,Arizona,731,"1,060"
Maine,Arkansas,119,142
Maine,California,"1,784",875
Maine,Colorado,680,391
Maine,Connecticut,"1,219",640
Maine,Delaware,129,111
Maine,District of Columbia ,341,333
Maine,Florida,"3,192","1,282"
Maine,Georgia,121,135
Maine,Hawaii,273,300
Maine,Idaho,0,179
Maine,Illinois,N,N
Maine,Indiana,142,169
Maine,Iowa,0,179
Maine,Kansas,338,301
Maine,Kentucky,0,179
Maine,Louisiana,466,265
Maine,Maine,X,X
Maine,Maryland,916,777
Maine,Massachusetts,"6,723","2,509"
Maine,Michigan,83,143
Maine,Minnesota,104,183
Maine,Mississippi,0,179
Maine,Missouri,606,840
Maine,Montana,346,304
Maine,Nebraska,116,162
Maine,Nevada,144,171
Maine,New Hampshire,"4,373","1,699"
Maine,New Jersey,829,691
Maine,New Mexico,123,134
Maine,New York,"1,927",803
Maine,North Carolina,"1,266",711
Maine,North Dakota,0,179
Maine,Ohio,272,260
Maine,Oklahoma,423,409
Maine,Oregon,462,359
Maine,Pennsylvania,834,499
Maine,Rhode Island,837,675
Maine,South Carolina,274,222
Maine,South Dakota,0,179
Maine,Tennessee,585,437
Maine,Texas,227,188
Maine,Utah,430,316
Maine,Vermont,466,380
Maine,Virginia,883,430
Maine,Washington,609,464
Maine,West Virginia,0,179
Maine,Wisconsin,292,323
Maine,Wyoming,N,N
Maine,Puerto Rico,89,164
Maine,U.S. Island Areas,0,179
Maine,Foreign country,"8,089","3,034"
Maryland,Alabama,"1,636","1,523"
Maryland,Alaska,N,N
Maryland,Arizona,"1,822","1,168"
Maryland,Arkansas,0,228
Maryland,California,"11,078","3,398"
Maryland,Colorado,"2,748","1,215"
Maryland,Connecticut,"1,813","1,316"
Maryland,Delaware,"5,781","1,822"
Maryland,District of Columbia ,"16,780","3,634"
Maryland,Florida,"9,358","2,214"
Maryland,Georgia,"5,702","2,720"
Maryland,Hawaii,901,"1,153"
Maryland,Idaho,299,480
Maryland,Illinois,653,427
Maryland,Indiana,175,203
Maryland,Iowa,774,540
Maryland,Kansas,"2,158","1,975"
Maryland,Kentucky,787,787
Maryland,Louisiana,"1,267",967
Maryland,Maine,390,327
Maryland,Maryland,X,X
Maryland,Massachusetts,"4,130","1,405"
Maryland,Michigan,"1,672","1,032"
Maryland,Minnesota,986,615
Maryland,Mississippi,219,368
Maryland,Missouri,654,430
Maryland,Montana,N,N
Maryland,Nebraska,"1,250","1,415"
Maryland,Nevada,898,562
Maryland,New Hampshire,600,470
Maryland,New Jersey,"5,550","1,553"
Maryland,New Mexico,896,649
Maryland,New York,"12,198","3,420"
Maryland,North Carolina,"6,410","2,300"
Maryland,North Dakota,529,817
Maryland,Ohio,963,448
Maryland,Oklahoma,910,"1,347"
Maryland,Oregon,448,507
Maryland,Pennsylvania,"12,638","2,389"
Maryland,Rhode Island,919,667
Maryland,South Carolina,"2,246",775
Maryland,South Dakota,348,367
Maryland,Tennessee,"1,242",692
Maryland,Texas,"10,467","3,471"
Maryland,Utah,232,253
Maryland,Vermont,345,347
Maryland,Virginia,"28,004","5,694"
Maryland,Washington,"1,381",898
Maryland,West Virginia,"2,338",902
Maryland,Wisconsin,"1,695","1,681"
Maryland,Wyoming,0,228
Maryland,Puerto Rico,"1,080","1,059"
Maryland,U.S. Island Areas,859,561
Maryland,Foreign country,"42,853","5,906"
Massachusetts,Alabama,693,524
Massachusetts,Alaska,N,N
Massachusetts,Arizona,643,562
Massachusetts,Arkansas,0,228
Massachusetts,California,"13,810","2,866"
Massachusetts,Colorado,"3,460","2,161"
Massachusetts,Connecticut,"9,936","1,952"
Massachusetts,Delaware,202,251
Massachusetts,District of Columbia ,"1,249",781
Massachusetts,Florida,"10,580","2,788"
Massachusetts,Georgia,"3,513","1,568"
Massachusetts,Hawaii,497,485
Massachusetts,Idaho,160,280
Massachusetts,Illinois,"3,274","1,334"
Massachusetts,Indiana,901,565
Massachusetts,Iowa,925,670
Massachusetts,Kansas,382,264
Massachusetts,Kentucky,286,294
Massachusetts,Louisiana,479,369
Massachusetts,Maine,"6,746","2,201"
Massachusetts,Maryland,"2,728","1,079"
Massachusetts,Massachusetts,X,X
Massachusetts,Michigan,"1,994","1,021"
Massachusetts,Minnesota,"1,304",813
Massachusetts,Mississippi,N,N
Massachusetts,Missouri,562,405
Massachusetts,Montana,258,287
Massachusetts,Nebraska,N,N
Massachusetts,Nevada,564,581
Massachusetts,New Hampshire,"11,286","2,887"
Massachusetts,New Jersey,"6,536","1,517"
Massachusetts,New Mexico,603,603
Massachusetts,New York,"18,697","3,077"
Massachusetts,North Carolina,"3,643","1,493"
Massachusetts,North Dakota,N,N
Massachusetts,Ohio,"2,466","1,601"
Massachusetts,Oklahoma,N,N
Massachusetts,Oregon,"1,537",686
Massachusetts,Pennsylvania,"5,490","1,672"
Massachusetts,Rhode Island,"15,235","4,211"
Massachusetts,South Carolina,"2,047","1,626"
Massachusetts,South Dakota,N,N
Massachusetts,Tennessee,"1,554",805
Massachusetts,Texas,"6,191","1,928"
Massachusetts,Utah,"1,570","1,170"
Massachusetts,Vermont,"1,734",600
Massachusetts,Virginia,"4,484","1,677"
Massachusetts,Washington,"2,252",930
Massachusetts,West Virginia,0,228
Massachusetts,Wisconsin,"1,291",932
Massachusetts,Wyoming,0,228
Massachusetts,Puerto Rico,617,573
Massachusetts,U.S. Island Areas,166,193
Massachusetts,Foreign country,"66,158","7,616"
Michigan,Alabama,913,780
Michigan,Alaska,411,337
Michigan,Arizona,"4,050","1,566"
Michigan,Arkansas,151,108
Michigan,California,"14,005","4,112"
Michigan,Colorado,"2,043",984
Michigan,Connecticut,434,280
Michigan,Delaware,N,N
Michigan,District of Columbia ,441,387
Michigan,Florida,"19,282","4,668"
Michigan,Georgia,"3,948","2,418"
Michigan,Hawaii,272,283
Michigan,Idaho,275,213
Michigan,Illinois,"12,464","2,739"
Michigan,Indiana,"8,855","1,871"
Michigan,Iowa,733,591
Michigan,Kansas,"2,263","1,365"
Michigan,Kentucky,"2,769","1,297"
Michigan,Louisiana,964,539
Michigan,Maine,130,169
Michigan,Maryland,"2,394",899
Michigan,Massachusetts,"1,358",718
Michigan,Michigan,X,X
Michigan,Minnesota,"2,453",948
Michigan,Mississippi,260,351
Michigan,Missouri,"1,808","1,138"
Michigan,Montana,726,638
Michigan,Nebraska,556,486
Michigan,Nevada,908,545
Michigan,New Hampshire,397,433
Michigan,New Jersey,"2,646","1,670"
Michigan,New Mexico,"2,246","2,210"
Michigan,New York,"3,338","1,072"
Michigan,North Carolina,"4,166","1,650"
Michigan,North Dakota,194,256
Michigan,Ohio,"13,776","3,189"
Michigan,Oklahoma,"1,463",772
Michigan,Oregon,"1,015",460
Michigan,Pennsylvania,"2,357","1,040"
Michigan,Rhode Island,413,380
Michigan,South Carolina,985,528
Michigan,South Dakota,316,309
Michigan,Tennessee,"2,391",963
Michigan,Texas,"8,217","2,157"
Michigan,Utah,520,397
Michigan,Vermont,137,194
Michigan,Virginia,"2,274",716
Michigan,Washington,"1,723",659
Michigan,West Virginia,769,455
Michigan,Wisconsin,"5,826","1,911"
Michigan,Wyoming,288,268
Michigan,Puerto Rico,711,658
Michigan,U.S. Island Areas,260,198
Michigan,Foreign country,"54,673","7,033"
Minnesota,Alabama,825,"1,005"
Minnesota,Alaska,822,849
Minnesota,Arizona,"2,608",748
Minnesota,Arkansas,324,434
Minnesota,California,"6,928","2,325"
Minnesota,Colorado,"3,457","1,435"
Minnesota,Connecticut,300,260
Minnesota,Delaware,0,157
Minnesota,District of Columbia ,415,358
Minnesota,Florida,"5,993","1,643"
Minnesota,Georgia,"1,183",651
Minnesota,Hawaii,N,N
Minnesota,Idaho,853,546
Minnesota,Illinois,"5,140","1,386"
Minnesota,Indiana,"2,127",683
Minnesota,Iowa,"5,965","1,581"
Minnesota,Kansas,"3,171","2,188"
Minnesota,Kentucky,393,311
Minnesota,Louisiana,385,290
Minnesota,Maine,N,N
Minnesota,Maryland,944,668
Minnesota,Massachusetts,"1,687",788
Minnesota,Michigan,"2,580",943
Minnesota,Minnesota,X,X
Minnesota,Mississippi,142,137
Minnesota,Missouri,"1,914",920
Minnesota,Montana,710,358
Minnesota,Nebraska,"2,415","1,179"
Minnesota,Nevada,"1,409",991
Minnesota,New Hampshire,0,157
Minnesota,New Jersey,516,349
Minnesota,New Mexico,572,430
Minnesota,New York,"2,788","1,019"
Minnesota,North Carolina,"1,816","1,181"
Minnesota,North Dakota,"6,171","1,506"
Minnesota,Ohio,"1,878",919
Minnesota,Oklahoma,121,109
Minnesota,Oregon,"1,322",647
Minnesota,Pennsylvania,637,375
Minnesota,Rhode Island,N,N
Minnesota,South Carolina,166,184
Minnesota,South Dakota,"2,736",776
Minnesota,Tennessee,"1,929","1,164"
Minnesota,Texas,"4,579","1,736"
Minnesota,Utah,611,539
Minnesota,Vermont,161,25
Minnesota,Virginia,335,321
Minnesota,Washington,"4,847","2,453"
Minnesota,West Virginia,0,157
Minnesota,Wisconsin,"20,316","3,235"
Minnesota,Wyoming,148,97
Minnesota,Puerto Rico,267,382
Minnesota,U.S. Island Areas,383,323
Minnesota,Foreign country,"29,527","4,700"
Mississippi,Alabama,"8,215","3,035"
Mississippi,Alaska,0,226
Mississippi,Arizona,255,227
Mississippi,Arkansas,"5,010","2,899"
Mississippi,California,"2,785","1,494"
Mississippi,Colorado,846,728
Mississippi,Connecticut,0,226
Mississippi,Delaware,N,N
Mississippi,District of Columbia ,0,226
Mississippi,Florida,"3,023","1,163"
Mississippi,Georgia,"3,210","1,580"
Mississippi,Hawaii,0,226
Mississippi,Idaho,N,N
Mississippi,Illinois,"1,744",592
Mississippi,Indiana,325,307
Mississippi,Iowa,0,226
Mississippi,Kansas,N,N
Mississippi,Kentucky,215,217
Mississippi,Louisiana,"7,040","1,846"
Mississippi,Maine,0,226
Mississippi,Maryland,783,870
Mississippi,Massachusetts,388,335
Mississippi,Michigan,624,592
Mississippi,Minnesota,263,385
Mississippi,Mississippi,X,X
Mississippi,Missouri,459,363
Mississippi,Montana,N,N
Mississippi,Nebraska,N,N
Mississippi,Nevada,533,494
Mississippi,New Hampshire,215,233
Mississippi,New Jersey,N,N
Mississippi,New Mexico,0,226
Mississippi,New York,529,508
Mississippi,North Carolina,"1,811",874
Mississippi,North Dakota,0,226
Mississippi,Ohio,"1,058",929
Mississippi,Oklahoma,"1,547","1,115"
Mississippi,Oregon,"1,128",822
Mississippi,Pennsylvania,"1,589","1,103"
Mississippi,Rhode Island,N,N
Mississippi,South Carolina,426,477
Mississippi,South Dakota,478,556
Mississippi,Tennessee,"8,457","2,868"
Mississippi,Texas,"8,574","2,693"
Mississippi,Utah,177,218
Mississippi,Vermont,122,154
Mississippi,Virginia,"1,565",792
Mississippi,Washington,788,701
Mississippi,West Virginia,0,226
Mississippi,Wisconsin,N,N
Mississippi,Wyoming,310,365
Mississippi,Puerto Rico,N,N
Mississippi,U.S. Island Areas,97,97
Mississippi,Foreign country,"15,301","3,440"
Missouri,Alabama,"1,771",912
Missouri,Alaska,411,402
Missouri,Arizona,"4,895","1,641"
Missouri,Arkansas,"5,767","1,955"
Missouri,California,"8,786","2,191"
Missouri,Colorado,"7,388","2,551"
Missouri,Connecticut,N,N
Missouri,Delaware,206,285
Missouri,District of Columbia ,N,N
Missouri,Florida,"6,623","1,785"
Missouri,Georgia,"4,242","1,640"
Missouri,Hawaii,324,288
Missouri,Idaho,916,568
Missouri,Illinois,"18,362","3,110"
Missouri,Indiana,"2,893","1,414"
Missouri,Iowa,"2,421",738
Missouri,Kansas,"18,446","3,129"
Missouri,Kentucky,"1,292",758
Missouri,Louisiana,"1,261",674
Missouri,Maine,N,N
Missouri,Maryland,"1,287",760
Missouri,Massachusetts,390,296
Missouri,Michigan,"2,471","1,714"
Missouri,Minnesota,"2,962","1,335"
Missouri,Mississippi,605,475
Missouri,Missouri,X,X
Missouri,Montana,314,316
Missouri,Nebraska,"3,215","1,239"
Missouri,Nevada,648,474
Missouri,New Hampshire,N,N
Missouri,New Jersey,832,515
Missouri,New Mexico,942,649
Missouri,New York,"4,973","2,533"
Missouri,North Carolina,"2,847","1,427"
Missouri,North Dakota,137,144
Missouri,Ohio,"2,267",962
Missouri,Oklahoma,"3,750","1,165"
Missouri,Oregon,"1,130",650
Missouri,Pennsylvania,"1,195",620
Missouri,Rhode Island,0,198
Missouri,South Carolina,"1,721","1,414"
Missouri,South Dakota,687,553
Missouri,Tennessee,"2,380","1,044"
Missouri,Texas,"12,723","2,888"
Missouri,Utah,935,568
Missouri,Vermont,0,198
Missouri,Virginia,"1,238",659
Missouri,Washington,"2,244",827
Missouri,West Virginia,781,981
Missouri,Wisconsin,"1,233",701
Missouri,Wyoming,N,N
Missouri,Puerto Rico,N,N
Missouri,U.S. Island Areas,677,694
Missouri,Foreign country,"28,597","4,209"
Montana,Alabama,287,382
Montana,Alaska,"1,767","1,621"
Montana,Arizona,"2,330","1,157"
Montana,Arkansas,N,N
Montana,California,"4,872","1,563"
Montana,Colorado,"3,002","1,368"
Montana,Connecticut,0,185
Montana,Delaware,0,185
Montana,District of Columbia ,0,185
Montana,Florida,"1,353",942
Montana,Georgia,240,217
Montana,Hawaii,897,903
Montana,Idaho,"1,318",693
Montana,Illinois,80,62
Montana,Indiana,N,N
Montana,Iowa,104,104
Montana,Kansas,260,299
Montana,Kentucky,0,185
Montana,Louisiana,N,N
Montana,Maine,N,N
Montana,Maryland,207,162
Montana,Massachusetts,424,315
Montana,Michigan,170,154
Montana,Minnesota,"1,435",817
Montana,Mississippi,0,185
Montana,Missouri,697,649
Montana,Montana,X,X
Montana,Nebraska,744,995
Montana,Nevada,226,243
Montana,New Hampshire,0,185
Montana,New Jersey,614,558
Montana,New Mexico,583,586
Montana,New York,703,598
Montana,North Carolina,104,105
Montana,North Dakota,591,462
Montana,Ohio,848,513
Montana,Oklahoma,N,N
Montana,Oregon,"1,606","1,198"
